dataset,classifier,method,p_value_raw,effect_size_cohens_d,effect_size_glass_delta,test_statistic,test_type,mean_baseline,mean_method,practical_significance,baseline_std,method_std,p_value_corrected,significant
WineQuality,RandomForest,RandomOver,0.183521476412627,0.6305469659394833,0.5397111648958729,-1.606120096233064,paired_t_test,0.6039512208076602,0.6326259106746912,False,0.04752064433484623,0.03241419632320304,0.917607382063135,False
WineQuality,RandomForest,SMOTE,0.8882627697446691,0.07908473744870617,0.08792913357647118,-0.14967748923844076,paired_t_test,0.6039512208076602,0.608622868903116,False,0.04752064433484623,0.05766178513989414,1.0,False
WineQuality,RandomForest,BorderlineSMOTE,0.8546883944686385,0.12481428097102137,0.09907387209383979,-0.19528498052856572,paired_t_test,0.6039512208076602,0.609214985467346,False,0.04752064433484623,0.02423751557480182,1.0,False
WineQuality,RandomForest,ADASYN,0.45663866630126687,0.4986154128933739,0.5015674051345483,-0.8232047178067563,paired_t_test,0.6039512208076602,0.6305993443320632,False,0.04752064433484623,0.048081678611228536,1.0,False
WineQuality,RandomForest,SMOTETomek,0.6034826603762316,0.293811813127352,0.3461183702923825,-0.5630197948217638,paired_t_test,0.6039512208076602,0.6223403844398987,False,0.04752064433484623,0.06332020516414229,1.0,False
WineQuality,RandomForest,SMOTEENN,0.02908551130637004,-1.3823762954450487,-1.2268744250906947,3.330742598587189,paired_t_test,0.6039512208076602,0.5387677561445657,True,0.04752064433484623,0.03604534721182099,0.17451306783822024,False
WineQuality,LogisticRegression,RandomOver,0.1272783838869806,1.1170051741552678,0.8038036563934006,-1.9199530566802117,paired_t_test,0.4284131960539658,0.5135437653250003,True,0.09472847670656648,0.01788981089588996,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTE,0.10265295358393862,1.1508209301445047,0.8245575826553978,-2.1085951056021246,paired_t_test,0.4284131960539658,0.5157418065297646,True,0.09472847670656648,0.01548760461954542,0.6159177215036318,False
WineQuality,LogisticRegression,BorderlineSMOTE,0.14535119164876523,0.9838293973762907,0.7251765133744043,-1.80523073742874,paired_t_test,0.4284131960539658,0.5052163916036668,True,0.09472847670656648,0.027879867990518448,0.6159177215036318,False
WineQuality,LogisticRegression,ADASYN,0.18325129156446573,0.8996309209968599,0.6417245994578477,-1.6073711720335186,paired_t_test,0.4284131960539658,0.4963780280531074,True,0.09472847670656648,0.01258514617411785,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTETomek,0.10265295358393862,1.1508209301445047,0.8245575826553978,-2.1085951056021246,paired_t_test,0.4284131960539658,0.5157418065297646,True,0.09472847670656648,0.01548760461954542,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTEENN,0.24523589462331358,0.6548215810568115,0.47767936194715804,-1.360683709239165,paired_t_test,0.4284131960539658,0.47900405327156925,True,0.09472847670656648,0.024017480707306176,0.6159177215036318,False
WineQuality,SVM,RandomOver,0.000770930163145837,2.706046478023645,2.73155856247813,-9.213928667733667,paired_t_test,0.4167268746579092,0.5473827794830731,True,0.04278223998035164,0.04358519297714273,0.003083720652583348,True
WineQuality,SVM,SMOTE,0.0012188202873377007,2.3305164640970593,2.3154158039146218,-8.175659499066017,paired_t_test,0.4167268746579092,0.5274778397159287,True,0.04278223998035164,0.042226002234445635,0.0036564608620131022,True
WineQuality,SVM,BorderlineSMOTE,0.00047425324375510426,2.9721826105563016,2.422243305821294,-10.447627364374767,paired_t_test,0.4167268746579092,0.5325876126175814,True,0.04278223998035164,0.024515238845295016,0.0023712662187755215,True
WineQuality,SVM,ADASYN,0.0003166150321601158,2.726313974672354,2.349143529059573,-11.590230689391568,paired_t_test,0.4167268746579092,0.5290911042115323,True,0.04278223998035164,0.02979132688396248,0.0018996901929606946,True
WineQuality,SVM,SMOTETomek,0.0016205640325727157,2.308872965062295,2.365800083828849,-7.5847320738869755,paired_t_test,0.4167268746579092,0.5298878205128205,True,0.04278223998035164,0.044867108680127,0.0036564608620131022,True
WineQuality,SVM,SMOTEENN,0.002662376275978284,2.0332864227820946,1.795571127093495,-6.645083385685085,paired_t_test,0.4167268746579092,0.5026126299592724,True,0.04278223998035164,0.03200641506930876,0.0036564608620131022,True
WineQuality,BalancedRF,RandomOver,0.5164595730941274,0.3385155202172518,0.27473786612227646,-0.7107973662169395,paired_t_test,0.6149524541853308,0.6326259106746912,False,0.05753709987687823,0.03241419632320304,1.0,False
WineQuality,BalancedRF,SMOTE,0.8367862196860243,-0.09828827539906236,-0.09839483040126056,0.21980305531136826,paired_t_test,0.6149524541853308,0.608622868903116,False,0.05753709987687823,0.05766178513989414,1.0,False
WineQuality,BalancedRF,BorderlineSMOTE,0.856515030919992,-0.11624139038390348,-0.08919024490039207,0.19279174721339448,paired_t_test,0.6149524541853308,0.609214985467346,False,0.05753709987687823,0.02423751557480182,1.0,False
WineQuality,BalancedRF,ADASYN,0.7983267886875357,0.16200936796357013,0.15922362128397993,-0.27305775244493735,paired_t_test,0.6149524541853308,0.6251950602831317,False,0.05753709987687823,0.0555407816464054,1.0,False
WineQuality,BalancedRF,SMOTETomek,0.804650163162338,0.1092265556961646,0.11484704163116649,-0.26424108231400706,paired_t_test,0.6149524541853308,0.6223403844398987,False,0.05753709987687823,0.06332020516414229,1.0,False
WineQuality,BalancedRF,SMOTEENN,0.005834951412562825,-1.3393464086673115,-1.147767466849059,5.362906421912567,paired_t_test,0.6149524541853308,0.5411183712772543,True,0.05753709987687823,0.03939354232812599,0.03500970847537695,True
